,runname,year,month,targetid,NAO,bathy,TidalExc,DistCoast,mean,p0,p5,p10,p20,p30,p40,p50,p60,p70,p80,p90,p95,p100
50,Jan-12,2012,jan,14,1.17,84,11424,36600,7.259516,0.079968534,2.276877975,3.182978511,4.423606014,5.43415966,6.291956234,7.117379189,7.997147179,9.002232456,10.26121559,12.11868029,13.74637961,23.872868
51,Jan-12,2012,jan,15,1.17,80,13004,63100,7.050547,0.07931955,2.002292967,2.851281643,4.265426826,5.206157303,6.003568363,6.856889725,7.710645676,8.697225571,9.940613556,11.75214405,13.19343548,19.386545
52,Jan-12,2012,jan,16,1.17,67,11690,6100,7.7073517,0.10888927,2.222388506,3.13307023,4.491666985,5.591277266,6.370448017,7.462625504,8.636992836,9.962965965,11.30179787,13.1649272,15.14885445,29.587765
53,Jan-12,2012,jan,17,1.17,45,22811,39800,10.018873,0.11509773,2.630574942,3.83750267,5.546566486,6.912970734,8.265867615,9.571237564,11.0629652,12.74496231,14.73296013,17.60568085,20.07486076,37.92351
54,Jul-01,2001,jul,0,-0.2,9,22616,1598,7.579381,2.7372847,3.386243463,3.85556221,4.771885395,5.972949028,6.749231815,7.364763021,8.061542511,9.027942657,10.1920433,11.81462145,13.08099794,18.840054
55,Jul-01,2001,jul,1,-0.2,2,13604,100,4.172441,1.9338012,2.136547804,2.272203922,2.272203922,2.272203922,2.272203922,2.272203922,2.272203922,2.272203922,7.046630287,8.259598351,8.940791512,13.55615
56,Jul-01,2001,jul,2,-0.2,87,11270,64600,6.532888,0.0590195,2.193508983,2.994199514,4.060281754,5.067722797,5.886721611,6.532160997,7.199304581,7.996975899,8.956108093,10.33428812,11.56492877,17.992588
57,Jul-01,2001,jul,3,-0.2,2,6128,1250,7.651332,4.8494797,5.437411356,5.58835907,5.816970253,6.074355221,6.479425716,7.057603359,7.871027279,8.887199211,9.946488953,10.95382729,11.62387304,15.2779875
58,Jul-01,2001,jul,4,-0.2,22,10606,5800,5.630629,0.21040171,2.483867931,3.091030121,3.091030121,3.091030121,4.378400326,6.156466007,6.916457176,6.916457176,6.916457176,8.029373169,8.827703476,19.186983
59,Jul-01,2001,jul,5,-0.2,50,26696,35000,8.318631,0.06617606,2.705146289,3.39065218,4.610888767,5.667056656,6.560918617,7.58000493,8.832699394,10.28873529,12.11469326,14.70580778,16.78113766,27.186563
60,Jul-01,2001,jul,6,-0.2,8,20885,3500,6.836592,1.518516,2.309105659,2.656979465,3.574856138,5.848660088,6.935637951,8.060901642,9.457337379,12.40088577,19.58213806,19.58213806,19.58213806,19.582138
61,Jul-01,2001,jul,7,-0.2,45,14773,19300,8.526847,0.1072347,2.722700191,3.621887589,4.906704044,6.248870277,7.702035046,9.128969193,9.975237083,11.84910488,13.39568901,15.79110336,15.79110336,25.599005
62,Jul-01,2001,jul,8,-0.2,31,12086,22600,8.68528,0.051036797,2.569918394,3.604865003,5.082164669,6.248553944,7.254498577,8.26189661,9.393112564,10.80012608,12.86588993,16.02315407,18.8254921,34.091915
63,Jul-01,2001,jul,9,-0.2,73,8059,37700,5.998037,0.105429314,1.838930708,2.57728734,3.891374874,4.72405057,5.380868244,6.058167934,6.776581669,7.502799463,8.252966499,9.316904354,10.18757005,15.902996
64,Jul-01,2001,jul,10,-0.2,39,13488,41600,6.6797285,0.100280635,2.016313672,2.830520391,4.245626926,5.072647572,5.831039429,6.612718344,7.376364708,8.205360413,9.22826767,10.69288874,11.8563292,18.080275
65,Jul-01,2001,jul,11,-0.2,42,17143,41700,7.896326,0.12793677,2.413199365,3.280725956,4.577013016,5.65847373,6.574994564,7.484445095,8.566892624,9.847811699,11.48892689,13.9021883,15.86308193,25.93008
66,Jul-01,2001,jul,12,-0.2,69,29215,32000,9.197646,0.056327257,2.360148394,3.486898065,5.008813,6.046669769,7.158478642,8.340416908,9.742418671,11.45669556,13.61275959,16.63534603,18.9630887,30.985622
67,Jul-01,2001,jul,13,-0.2,31,11632,27000,7.8351398,0.09465898,2.719481134,3.597669077,4.936541843,6.043028069,6.974786472,7.828836918,8.665525818,9.640352249,10.97697601,13.01317825,14.70354061,24.38902
68,Jul-01,2001,jul,14,-0.2,84,11424,36600,6.7798595,0.040703397,2.147874737,3.057788754,4.208743668,5.240491486,6.02656002,6.698477745,7.44678297,8.318887329,9.401114655,10.88993073,12.13083572,22.143074
69,Jul-01,2001,jul,15,-0.2,80,13004,63100,6.819008,0.08357154,2.047338486,2.825728774,4.223788261,5.119637012,5.834194183,6.658626318,7.543239117,8.479147434,9.61396122,11.21693945,12.48428082,20.695963
70,Jul-01,2001,jul,16,-0.2,67,11690,6100,6.948831,0.07068457,2.010758519,2.93005836,4.130549908,5.237677336,6.106958389,6.860330582,7.72206068,8.674196243,9.880020142,11.28109884,12.46452165,20.116419
71,Jul-01,2001,jul,17,-0.2,45,22811,39800,9.523143,0.051717013,2.797267222,3.901505709,5.380088234,6.551102829,7.797378731,8.838432312,10.07761478,11.71712246,13.73726864,16.77680702,19.41000328,33.311996
72,Jul-06,2006,jul,0,0.84,9,22616,1598,7.3187084,2.6267061,3.469344556,3.922420979,4.805307865,5.907339096,6.56644249,7.042451859,7.730861378,8.56536808,9.668231392,11.1242938,12.32601027,17.332457
73,Jul-06,2006,jul,1,0.84,2,13604,100,5.5722694,1.9279239,1.977154732,2.102514029,2.272203922,2.272203922,2.272203922,4.9695189,7.057263374,7.750991821,8.357055855,9.109477329,9.976315641,14.627181
